"Year","Value","Country"
"1992","6.7825","Aland Islands"
"1992","20.2075","Algeria"
"1992","27.47","American Samoa"
"1992","15.807894736842107","Argentina"
"1992","2.9299999999999997","Armenia"
"1992","17.40796019900497","Australia"
"1992","8.297142857142857","Austria"
"1992","14.27","Azerbaijan"
"1992","24.9","Bahamas"
"1992","7.89","Belarus"
"1992","10.6","Belgium"
"1992","24.67","Belize"
"1992","22.93","Bermuda"
"1992","10.81","Bosnia and Herzegovina"
"1992","28.63","Cambodia"
"1992","4.4046001796945164","Canada"
"1992","11.195126903553298","China"
"1992","25.15","Christmas Island"
"1992","26.68","Cocos (Keeling) Islands"
"1992","16.675","Colombia"
"1992","25.58","Costa Rica"
"1992","13.436666666666667","Croatia"
"1992","27.8","Cuba"
"1992","18.44666666666667","Cyprus"
"1992","8.793333333333333","Czech Republic"
"1992","9.501999999999999","Denmark"
"1992","28.93","El Salvador"
"1992","6.679444444444445","Estonia"
"1992","-6.91","Falkland Islands (Malvinas)"
"1992","3.4971538461538456","Finland"
"1992","12.106086956521741","France"
"1992","26.37","French Guiana"
"1992","-11.575","French Southern Territories"
"1992","13.17","Georgia"
"1992","9.495638945233274","Germany"
"1992","16.39428571428571","Greece"
"1992","-5.754","Greenland"
"1992","26.79","Guadeloupe"
"1992","27.39","Guam"
"1992","16.89","Guatemala"
"1992","11.17","Guernsey"
"1992","11.662","Hungary"
"1992","2.25375","Iceland"
"1992","15.091249999999999","Iran, Islamic Republic of"
"1992","9.807142857142859","Ireland"
"1992","10.07","Isle of Man"
"1992","18.698","Israel"
"1992","12.245","Italy"
"1992","28.28","Jamaica"
"1992","18.8825","Japan"
"1992","11.33","Jersey"
"1992","5.92576923076923","Kazakhstan"
"1992","13.4","Korea, Republic of"
"1992","25.56","Kuwait"
"1992","4.07","Kyrgyzstan"
"1992","7.756666666666667","Lithuania"
"1992","9.67","Luxembourg"
"1992","27.546000000000003","Malaysia"
"1992","27.55","Maldives"
"1992","27.52","Marshall Islands"
"1992","24.403333333333336","Mauritius"
"1992","20.399255255255245","Mexico"
"1992","27.476249999999997","Micronesia, Federated States of"
"1992","10.45","Moldova, Republic of"
